,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
103,103,salalah,17.0151,54.0924,73.49,25,0,17.27,OM,1644204168,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
125,125,port lincoln,-34.7333,135.8667,79.56,48,0,18.32,AU,1644204181,Port Lincoln Hotel
147,147,neuquen,-38.9516,-68.0591,75.27,19,0,10.94,AR,1644204022,Hotel del Comahue
228,228,cabanas,22.9758,-82.9219,70.27,76,0,9.04,CU,1644204332,Villa Luis Montesino y Anabel
245,245,arraial do cabo,-22.9661,-42.0278,75.36,92,0,18.75,BR,1644204396,Pousada Porto Praia
249,249,east london,-33.0153,27.9116,70.74,94,0,4.61,ZA,1644203794,Tu Casa
348,348,pochutla,15.7432,-96.4661,77.85,82,0,3.06,MX,1644204544,Hotel Posada San Jose
349,349,launceston,-41.45,147.1667,79.61,42,0,4.0,AU,1644204545,Hotel Grand Chancellor Launceston
403,403,saint-pierre,-21.3393,55.4781,78.44,78,0,5.75,RE,1644204621,Alize Plage
530,530,joao camara,-5.5375,-35.8197,78.04,83,0,4.99,BR,1644204837,Pousada Miguel Teixeira
